feature,importance
instrument_id,13.020084913858039
dose_residual_roll_6h_mean,9.089081281477101
flux_roll_6h_std,7.845635842598675
flux_roll_6h_max,7.240967279258899
flux_roll_6h_mean,6.665064588147362
flux_roll_6h_min,4.207867648224659
dose_residual_roll_1d_mean,3.642932961898331
dose_residual_roll_3d_mean,2.831481425574299
latitude,2.4227043030767064
longitude_cos,2.335787759633131
flux_roll_1h_std,1.840166962993259
flux_roll_1h_max,1.7657513280091721
dose_residual_roll_6h_min,1.7172476352370432
flux_roll_1d_std,1.6147584569804527
flux_roll_1d_mean,1.3199455584878717
flux_roll_1d_max,1.2448990605158776
log10_xrs_b_flux_roll_7d_mean,1.0463728832729289
log10_xrs_b_flux_roll_7d_max,1.0294801975577488
longitude,0.9821683886124767
flux_roll_3d_mean,0.9156681958826155
dose_residual_roll_7d_mean,0.9094720293527296
longitude_sin,0.9005108136182957
flux_roll_7d_max,0.8704206704272374
minute_of_day_cos,0.776579117193415
flux_lag_6h,0.769969234673126
flux_roll_1d_min,0.6569674292733149
dose_residual_roll_1d_std,0.6426897058528778
dose_residual_roll_1d_max,0.6394733752032654
flux_roll_1h_mean,0.6122583534763062
day_of_year_sin,0.6110576078056462
donki_ips_age_minutes,0.6081875248316393
flux_roll_3d_min,0.5342574229773367
flux_roll_7d_min,0.49874277136751244
log_dose_lag_100m,0.48906859239667516
minute_of_day_sin,0.4703973363732083
dose_residual_roll_6h_std,0.43411305291244384
log_dose_lag_12h,0.42025633586457284
dose_residual_roll_6h_max,0.40542665613503104
Fobs,0.36123023850240393
flux_roll_3d_std,0.32960460985140294
proton_flux_proxy_gt100_mev_roll_6h_mean,0.323857721652814
proton_flux_proxy_gt10_mev_roll_1d_min,0.322824652555404
log_dose_lag_15m,0.3218911625185036
proton_flux_proxy_gt50_mev_roll_7d_max,0.3103162645319325
log10_xrs_b_flux_roll_1d_max,0.2897430053984915
log10_xrs_b_flux_roll_6h_mean,0.2857387336348099
proton_flux_proxy_gt10_mev_roll_7d_mean,0.28086139298783636
proton_flux_proxy_gt100_mev_roll_3d_min,0.27576865146419244
dose_residual_roll_3d_max,0.26847597598301065
dose_residual_roll_3d_std,0.2678537565948686
