feature,importance
flux_roll_6h_std,8.811661048406643
flux_roll_6h_mean,6.475830977604611
q99_margin_roll_1d_q90,6.382279801429065
dose_residual_roll_6h_mean,5.219043080416782
flux_roll_6h_max,4.565728844478157
q99_exceedance_roll_1d_rate,4.384459575341278
instrument_id,4.06529593638963
q99_exceedance_roll_3d_rate,3.737823700336904
q99_margin_roll_3d_q90,3.2860158797503503
flux_roll_6h_min,2.853707053605676
latitude,2.7755276239615547
longitude_cos,2.303183502508949
dose_residual_roll_1d_mean,1.835179700788614
flux_roll_1h_std,1.6758825114946734
q99_margin_roll_6h_q90,1.5072473419552601
dose_residual_roll_6h_min,1.4926945629899842
flux_roll_1h_max,1.4083938527885111
longitude,1.3872245838790567
flux_roll_1d_max,1.2241438146756922
longitude_sin,1.1116680770099403
flux_roll_1d_std,1.0984258613582096
day_of_year_sin,0.9572969818899527
minute_of_day_cos,0.8337872781465495
q99_margin_roll_6h_max,0.7797767689787279
flux_roll_1h_mean,0.7122829780251038
q99_margin_roll_1d_max,0.6212880754379274
donki_ips_age_minutes,0.6176334477758625
flux_roll_1d_min,0.5752236664670423
log10_xrs_b_flux_roll_7d_mean,0.49452883383649304
flux_roll_3d_max,0.4936976666824861
flux_roll_7d_max,0.4792914289720272
minute_of_day_sin,0.4580586376798497
flux_roll_1d_mean,0.4537040191040378
flux_roll_3d_mean,0.4423307992067876
dose_residual_roll_1d_max,0.4087075670665765
proton_flux_proxy_gt100_mev_roll_1d_max,0.40811924219941825
SN,0.4063811544210657
log_dose_lag_100m,0.40237728723409216
flux_roll_7d_min,0.3994579263060214
flux_lag_6h,0.397954489448676
dose_residual_roll_7d_mean,0.3947178351046826
log1p_flux_delta_1d,0.39441495985866776
dose_residual_roll_7d_min,0.3819639470650093
dose_residual_roll_6h_max,0.3774139413397835
flux_lag_12h,0.3464499395157468
b,0.3354517019435264
log10_xrs_a_flux_roll_7d_mean,0.3225895161154221
flux_lag_285m,0.31377380915838643
log_dose_lag_12h,0.3075740001563282
dose_residual_roll_1d_min,0.3038717344624993
proton_flux_proxy_gt10_mev_roll_1d_min,0.29874873808598457
dose_residual_roll_6h_std,0.298421130906755
log10_xrs_b_flux_roll_1d_max,0.2963144090531447
log_dose_lag_15m,0.2952040182452387
log10_xrs_a_flux_roll_1d_mean,0.2935144504855631
log10_xrs_a_flux_roll_1d_max,0.29249086075820824
q99_margin_roll_3d_max,0.2835084780072212
dose_residual_roll_3d_std,0.2822918657607453
donki_hss_age_minutes,0.2811390966097967
Fadj,0.280742122459018
proton_flux_proxy_gt100_mev_roll_3d_max,0.27331483534947915
dose_residual_roll_3d_mean,0.2666949029540695
flux_lag_30m,0.25955082073795344
flux_roll_3d_min,0.2507959811187657
Fobs,0.24744980478181017
flux_orbit_diff_190m,0.244156914702045
proton_flux_proxy_gt100_mev_roll_3d_min,0.24267370472211966
flux_roll_7d_mean,0.239444992564969
log10_xrs_b_flux_roll_6h_min,0.2298960651507872
flux_lag_100m,0.22717713699195244
log10_xrs_a_flux_roll_3d_max,0.22513072818907703
log10_xrs_a_flux_roll_6h_min,0.22312387776796266
dose_residual_roll_1d_std,0.22283590264949935
log10_xrs_b_flux_roll_1d_std,0.22154823679681715
flux_lag_380m,0.221531914021489
proton_flux_proxy_gt10_mev_roll_1d_std,0.21802113806374865
log10_xrs_b_flux_roll_1d_mean,0.21760250683684124
log1p_flux_delta_6h,0.20808147974129446
log_dose_lag_6h,0.20759610890516758
log10_xrs_b_flux_roll_7d_min,0.20747540680499535
dose_residual_roll_3d_max,0.20399224331341084
log10_xrs_a_flux_roll_3d_mean,0.20254547320603253
log10_xrs_b_flux_roll_6h_mean,0.2022009286028726
dose_residual_roll_3d_min,0.20211465776158197
day_of_year_cos,0.20118701509352116
log10_xrs_b_flux_roll_3d_min,0.198948855787527
log10_xrs_a_flux_roll_1d_min,0.18737054153624708
