feature,importance
last_risk,10.29180148774667
risk_delta,2.536555563929424
max_risk_scaling_delta,2.2457828525255072
last_time_to_tca,1.9377139501481153
risk_mean,1.9275786810012052
last_max_risk_estimate,1.7778388430272654
time_to_tca_delta,1.6951331673815007
max_risk_estimate_max,1.6379867286849528
t_weighted_rms_delta,1.52599833343855
risk_min,1.3864035130854417
mahalanobis_distance_std,1.3152538119781114
c_sigma_n_std,1.1495462236170337
time_to_tca_mean,1.1089607438109859
mahalanobis_distance_delta,1.0026065520717675
max_risk_estimate_mean,0.9575236831967076
t_ct_r_mean,0.9528754150861717
t_sigma_n_std,0.9056240140349071
last_mahalanobis_distance,0.8839186795036165
c_position_covariance_det_mean,0.7847063339754233
t_obs_available_min,0.7695638795813204
t_cndot_r_mean,0.7562128781000532
t_cd_area_over_mass_delta,0.7518545894519921
c_sigma_tdot_min,0.742985137772887
c_obs_used_min,0.7327735294079267
t_sigma_r_max,0.7301996519613762
c_ctdot_n_min,0.7099574265440524
risk_max,0.7039261482846032
t_cndot_r_min,0.6998979636158164
t_cndot_t_mean,0.6239789597620096
t_sigma_tdot_mean,0.6200533830690925
time_to_tca_std,0.6174610622863921
t_cn_t_std,0.5981212589586947
last_c_position_covariance_det,0.5980370377428945
cdm_count,0.5948558072302241
c_position_covariance_det_max,0.5930787617293297
miss_distance_max,0.5806308367072488
mahalanobis_distance_max,0.579530259170915
c_cr_area_over_mass_max,0.5662440118551912
t_rcs_estimate_max,0.5435166946417661
c_sedr_max,0.5390818704400807
t_j2k_inc_delta,0.5298942304312756
relative_position_n_delta,0.5146880713213379
last_t_j2k_ecc,0.5120280416592512
last_mission_id,0.4999279908611489
last_c_sigma_tdot,0.49682788148544865
c_ctdot_rdot_max,0.4899281293418254
last_c_sigma_n,0.4842396212690627
last_c_sigma_t,0.4758086133444071
c_cndot_rdot_mean,0.47428341159204745
t_cndot_tdot_max,0.4728419695168626
c_sedr_delta,0.4712595133459626
c_sigma_r_min,0.45682245899156304
c_time_lastob_start_max,0.4520605785524474
t_cndot_t_std,0.45180198384510845
t_crdot_t_delta,0.44950185732236114
c_sigma_ndot_mean,0.44403872979982656
c_ctdot_r_min,0.4435650693536035
last_t_sigma_n,0.4421624582889928
last_c_sigma_r,0.4343906405749277
last_relative_speed,0.4292335568462371
miss_distance_mean,0.4277585694464508
c_sedr_mean,0.42670615786806854
max_risk_estimate_delta,0.4263099043517282
c_j2k_ecc_delta,0.425821872117637
t_cn_r_max,0.4223938214516626
last_relative_velocity_r,0.4200147597376941
t_sigma_t_mean,0.4152794913597593
last_t_cn_r,0.4099447193572085
t_cndot_rdot_delta,0.3924938715024561
relative_position_t_mean,0.3923659650925891
c_sigma_n_max,0.3861113590614236
t_cd_area_over_mass_mean,0.38045251962605203
c_j2k_inc_std,0.3781736557866885
max_risk_scaling_min,0.3761557480947002
last_t_cn_t,0.37529348572314825
last_max_risk_scaling,0.36586911847238307
c_cndot_n_min,0.359300923166915
last_c_sigma_ndot,0.35766504224746815
last_t_j2k_sma,0.3542194465626081
t_position_covariance_det_min,0.353566233079908
c_time_lastob_end_min,0.3512084832715969
c_cn_r_delta,0.3484745170144445
c_sigma_t_delta,0.34845834167957956
t_cn_r_delta,0.34746699777652984
miss_distance_min,0.34546931589426905
elevation_mean,0.3426760929349355
c_sigma_n_min,0.34220765954615756
t_weighted_rms_mean,0.3391679956839755
t_cndot_tdot_min,0.33561158627861637
c_weighted_rms_mean,0.31405145054387035
last_t_sigma_r,0.312616385963724
c_h_apo_mean,0.31234668634372514
t_ctdot_rdot_std,0.31063521142853195
observed_span_days,0.30735840301355216
last_t_cd_area_over_mass,0.30320572734106693
last_t_rcs_estimate,0.3002973077264426
t_cndot_rdot_max,0.2973267853732218
c_cndot_t_min,0.2959171517534713
last_t_j2k_inc,0.2940368301213089
t_ctdot_rdot_max,0.2929950178735415
t_j2k_sma_min,0.29232993538452556
max_risk_estimate_min,0.2919618379737287
last_t_cndot_n,0.28937275218876907
c_obs_used_max,0.2866898206751669
c_h_per_mean,0.28643712622309814
c_sigma_t_max,0.2835429411859852
t_sigma_rdot_max,0.280214303464333
t_h_per_std,0.27300974915739656
last_t_crdot_t,0.27271875842297966
last_c_rcs_estimate,0.27013453654108643
c_ctdot_rdot_mean,0.27004074468635353
c_ctdot_r_delta,0.269393740063336
c_cr_area_over_mass_mean,0.2691749485234616
last_miss_distance,0.26882035596811976
last_c_j2k_sma,0.26625748017462214
t_ctdot_r_max,0.26515704959790976
max_risk_scaling_max,0.2651110314295019
time_to_tca_min,0.2614207930234992
t_crdot_r_mean,0.2590457020688994
c_obs_used_mean,0.25770157156162177
c_crdot_r_std,0.25234068067399873
c_crdot_t_max,0.2497089860023448
last_t_sigma_tdot,0.2484383210011602
relative_velocity_t_max,0.24773437318718433
c_crdot_t_delta,0.24529965513011964
c_rcs_estimate_mean,0.24363770481765593
c_crdot_n_max,0.24214354233932708
t_cr_area_over_mass_min,0.24048750262852567
c_weighted_rms_std,0.23909431107276932
t_weighted_rms_max,0.23599373840190177
c_ct_r_mean,0.23534901663588442
last_c_h_apo,0.23409742057075558
relative_position_r_mean,0.2322898502030097
c_j2k_ecc_max,0.2306055638432311
c_ctdot_r_max,0.2305638089041113
t_cn_t_max,0.22604996231125965
last_c_cndot_t,0.22283933432447023
t_cndot_t_max,0.2221899614660091
F3M_mean,0.21966470911473973
c_rcs_estimate_max,0.2165172298138869
SSN_delta,0.208533314684155
t_cd_area_over_mass_max,0.2079058544764035
relative_velocity_t_mean,0.20264847358856225
t_cndot_tdot_mean,0.20177443337440612
c_cn_t_mean,0.19551111140809338
relative_position_n_std,0.1939505035370469
c_actual_od_span_max,0.19246750338841911
c_sigma_n_delta,0.19246206690890352
t_rcs_estimate_mean,0.18991164063922739
relative_velocity_n_min,0.18946858631207608
last_c_crdot_t,0.1836318338795265
c_cd_area_over_mass_max,0.1824792612659777
t_ctdot_n_min,0.1794089981465892
c_cd_area_over_mass_delta,0.1768910598491732
t_obs_used_std,0.17205546388053658
relative_speed_mean,0.1694904014559095
geocentric_latitude_min,0.1653940402977606
max_risk_scaling_mean,0.16448799572453623
c_obs_available_mean,0.16433037147471236
c_j2k_sma_max,0.16351720502641065
t_recommended_od_span_std,0.162546463819966
last_t_cndot_r,0.16124508952970457
c_sigma_tdot_mean,0.16048402519444935
t_sigma_ndot_delta,0.1569346843474632
last_t_obs_available,0.1538649843380902
c_recommended_od_span_mean,0.15008605420384777
last_elevation,0.1496477425488282
c_obs_available_std,0.14877241901968905
last_c_j2k_ecc,0.1457626677439786
c_sigma_tdot_std,0.1442213079262805
c_ctdot_r_mean,0.14407871995297994
last_t_cndot_rdot,0.14035923816940055
t_j2k_ecc_min,0.13954703991288214
mahalanobis_distance_mean,0.13716074112387433
c_time_lastob_end_max,0.13607810966843822
t_sigma_r_mean,0.13484396644877275
last_t_sigma_t,0.13469614976730998
t_h_apo_min,0.1338126643073752
t_sigma_t_min,0.1312731379303459
last_t_crdot_n,0.13126584531376415
t_sigma_tdot_std,0.13052437427595467
last_t_h_per,0.12957854788970866
c_sigma_ndot_min,0.12943086986396315
c_recommended_od_span_max,0.1291266614639998
t_actual_od_span_max,0.12880403549083472
t_ctdot_t_std,0.12783187772818413
last_c_h_per,0.1266282174272929
c_time_lastob_start_mean,0.12469466320407191
last_t_cndot_t,0.12371254536039493
elevation_min,0.11965938784434174
c_cndot_rdot_std,0.11665200801230403
c_cn_t_min,0.1151515796004719
t_sigma_r_min,0.11501756928339572
t_h_per_mean,0.11497182932964706
t_cndot_n_delta,0.1148116889989078
c_recommended_od_span_std,0.11430559513523514
t_weighted_rms_min,0.11403988280295406
t_sigma_rdot_delta,0.11337703748342787
c_ct_r_std,0.11327922769785892
last_c_cndot_tdot,0.11292392592415679
c_cndot_rdot_delta,0.1121964314034788
azimuth_std,0.11190808788633508
azimuth_max,0.11083226368548688
F3M_min,0.10979684496654032
c_ctdot_rdot_delta,0.10860863397445059
t_cd_area_over_mass_min,0.10598489546830883
F10_min,0.10447446296443791
AP_min,0.1020586252994126
